Issue,Red1,Red2,Red3,Red4,Red5,Red6,Blue balls
0.0592,0.1,0.175,0.275,0.475,0.575,0.65,0.25
0.0596,0.075,0.125,0.275,0.6,0.675,0.7,0.375
0.06,0.325,0.4,0.475,0.5,0.575,0.825,0.225
0.0604,0.025,0.3,0.625,0.675,0.7,0.725,0.325
0.0608,0.175,0.25,0.325,0.4,0.675,0.7,0.175
0.0612,0.35,0.375,0.45,0.5,0.675,0.775,0.1
0.0616,0.325,0.35,0.675,0.725,0.8,0.825,0.2
0.062,0.125,0.325,0.5,0.575,0.6,0.625,0.075
0.0624,0.025,0.15,0.175,0.325,0.4,0.8,0.1
0.0628,0.05,0.2,0.275,0.325,0.6,0.775,0.375
0.0632,0.05,0.275,0.375,0.5,0.55,0.725,0.125
0.0636,0.25,0.3,0.525,0.55,0.75,0.825,0.15
0.064,0.075,0.2,0.4,0.425,0.525,0.725,0.15
0.0644,0.2,0.375,0.45,0.7,0.75,0.825,0.35
0.0648,0.05,0.175,0.325,0.4,0.575,0.7,0.4
0.0652,0.125,0.15,0.375,0.475,0.65,0.725,0.325
0.0656,0.175,0.45,0.525,0.65,0.675,0.7,0.175
0.066,0.075,0.125,0.325,0.425,0.625,0.775,0.175
0.0664,0.2,0.225,0.25,0.35,0.4,0.65,0.175
0.0668,0.1,0.125,0.25,0.525,0.6,0.65,0.125
0.0672,0.175,0.325,0.35,0.425,0.475,0.75,0.075
0.0676,0.075,0.2,0.5,0.575,0.6,0.65,0.4
0.068,0.075,0.125,0.525,0.6,0.675,0.8,0.15
0.0684,0.075,0.5,0.6,0.675,0.725,0.75,0.375
0.0688,0.35,0.4,0.675,0.7,0.75,0.825,0.15
0.0692,0.025,0.1,0.2,0.275,0.525,0.625,0.35
0.0696,0.075,0.2,0.275,0.725,0.75,0.8,0.025
0.07,0.25,0.325,0.45,0.475,0.625,0.675,0.025
0.0704,0.025,0.075,0.175,0.2,0.625,0.65,0.35
0.0708,0.05,0.25,0.475,0.55,0.6,0.8,0.35
0.0712,0.35,0.425,0.5,0.625,0.7,0.75,0.35
0.0716,0.025,0.45,0.5,0.6,0.8,0.825,0.3
0.072,0.225,0.325,0.35,0.525,0.75,0.825,0.025
0.0724,0.025,0.1,0.2,0.325,0.7,0.775,0.05
0.0728,0.275,0.35,0.5,0.675,0.8,0.825,0.125
0.0732,0.125,0.225,0.25,0.325,0.6,0.625,0.2
0.0736,0.475,0.55,0.675,0.7,0.75,0.8,0.025
0.074,0.025,0.1,0.3,0.4,0.5,0.75,0.375
0.0744,0.25,0.475,0.5,0.65,0.725,0.775,0.35
0.0748,0.075,0.3,0.325,0.625,0.65,0.775,0.075
0.0752,0.125,0.25,0.525,0.55,0.65,0.825,0.05
0.0756,0.15,0.2,0.225,0.35,0.6,0.825,0.375
0.076,0.05,0.225,0.35,0.475,0.625,0.65,0.375
0.0764,0.075,0.225,0.3,0.375,0.7,0.8,0.025
0.0768,0.05,0.075,0.125,0.225,0.4,0.525,0.05
0.0772,0.175,0.275,0.425,0.45,0.6,0.725,0.125
0.0776,0.175,0.225,0.25,0.525,0.575,0.75,0.3
0.078,0.25,0.375,0.575,0.65,0.7,0.725,0.3
0.0784,0.025,0.2,0.3,0.325,0.45,0.5,0.175
0.0788,0.2,0.325,0.35,0.675,0.7,0.775,0.3
0.0792,0.15,0.2,0.25,0.425,0.75,0.775,0.35
0.0796,0.35,0.475,0.5,0.525,0.55,0.775,0.275
0.08,0.275,0.4,0.45,0.5,0.65,0.775,0.05
0.0804,0.225,0.325,0.375,0.525,0.65,0.825,0.15
0.0808,0.2,0.25,0.575,0.625,0.775,0.8,0.175
0.0812,0.025,0.15,0.225,0.425,0.525,0.55,0.025
0.0816,0.05,0.4,0.5,0.75,0.775,0.825,0.025
0.082,0.025,0.075,0.125,0.2,0.35,0.825,0.075
0.0824,0.025,0.075,0.175,0.35,0.6,0.625,0.175
0.0828,0.075,0.1,0.175,0.3,0.75,0.775,0.375
0.0832,0.15,0.225,0.45,0.5,0.625,0.825,0.15
0.0836,0.175,0.2,0.45,0.525,0.675,0.8,0.25
0.084,0.175,0.325,0.4,0.45,0.75,0.8,0.25
0.0844,0.075,0.275,0.35,0.55,0.6,0.775,0.375
0.0848,0.025,0.175,0.2,0.575,0.675,0.7,0.35
0.0852,0.15,0.225,0.5,0.65,0.7,0.825,0.35
0.0856,0.225,0.3,0.375,0.475,0.55,0.775,0.4
0.086,0.025,0.1,0.2,0.225,0.55,0.575,0.075
0.0864,0.125,0.225,0.5,0.65,0.7,0.825,0.375
0.0868,0.05,0.1,0.125,0.375,0.525,0.775,0.4
0.0872,0.175,0.375,0.425,0.5,0.575,0.825,0.375
0.0876,0.275,0.475,0.55,0.675,0.8,0.825,0.275
0.088,0.05,0.425,0.55,0.675,0.725,0.775,0.35
0.0884,0.2,0.25,0.275,0.45,0.625,0.65,0.025
0.0888,0.225,0.275,0.325,0.375,0.55,0.75,0.375
0.0892,0.05,0.075,0.15,0.4,0.55,0.775,0.125
0.0896,0.175,0.2,0.4,0.475,0.5,0.6,0.15
0.09,0.325,0.475,0.525,0.575,0.75,0.8,0.125
0.0904,0.1,0.2,0.225,0.4,0.425,0.725,0.375
0.0908,0.025,0.125,0.15,0.3,0.4,0.75,0.375
0.0912,0.05,0.15,0.25,0.625,0.675,0.775,0.075
0.0916,0.025,0.075,0.15,0.55,0.575,0.625,0.15
0.092,0.15,0.275,0.3,0.325,0.475,0.55,0.2
0.0924,0.35,0.4,0.475,0.5,0.625,0.725,0.125
0.0928,0.05,0.15,0.6,0.65,0.75,0.775,0.4
0.0932,0.2,0.25,0.3,0.525,0.8,0.825,0.1
0.0936,0.25,0.375,0.475,0.5,0.525,0.625,0.3
0.094,0.125,0.225,0.35,0.675,0.775,0.8,0.325
0.0944,0.025,0.175,0.25,0.275,0.325,0.8,0.175
0.0948,0.15,0.3,0.35,0.5,0.625,0.65,0.175
0.0952,0.025,0.075,0.1,0.15,0.525,0.8,0.375
0.0956,0.1,0.225,0.55,0.625,0.65,0.8,0.25
0.096,0.05,0.35,0.525,0.55,0.675,0.75,0.35
